source_lang,target_lang,translations
simple,ne,2
ps,sd,2
pt,ks,2
kn,ta,2
hu,hi,2
fr,mr,2
bn,ha,2
ml,si,2
awa,hi,2
war,ne,2
fy,bn,2
bn,it,2
el,ur,2
ur,ta,2
ro,ml,2
war,ta,2
zh,ur,2
hi,vi,2
ta,pt,2
es,new,2
bn,mni,2
he,hi,2
ckb,ks,2
de,ml,2
ha,si,2
ne,gu,2
ks,lg,2
scn,bn,2
de,si,2
ne,kn,2
bn,da,2
bn,pdc,2
es,mai,1
bh,en,1
ml,gu,1
mr,ta,1
ne,ru,1
kn,ks,1
ko,ta,1
te,fr,1
sa,gu,1
th,bn,1
eo,ks,1
id,ks,1
de,ne,1
pt,ne,1
st,bn,1
hi,gl,1
hi,sh,1
ne,simple,1
as,ta,1
or,ru,1
da,hi,1
ban,gu,1
de,bh,1
de,ks,1
bg,ne,1
tr,ta,1
bh,mr,1
ml,mr,1
bn,sr,1
sl,hi,1
af,mr,1
mni,bn,1
uk,awa,1
anp,hi,1
ur,af,1
ur,ne,1
hi,ha,1
hi,sr,1
sv,ks,1
fi,new,1
new,en,1
ta,iu,1
te,ml,1
or,ta,1
ps,bn,1
ps,ta,1
tt,bn,1
bn,gom,1
gpe,pa,1
ml,ru,1
eu,bn,1
ca,hi,1
hi,hu,1
ar,ne,1
arz,ks,1
fo,hi,1
te,or,1
ku,hi,1
az,ta,1
eo,gu,1
tl,ta,1
mai,rmy,1
bn,ace,1
dty,gl,1
pt,pa,1
ja,ml,1
ur,ca,1
hi,af,1
ca,sd,1
hi,tr,1
ceb,tcy,1
cr,bn,1
awa,mai,1
te,si,1
es,as,1
lt,bn,1
mai,uk,1
dty,pt,1
mr,az,1
et,mr,1
ur,da,1
ur,te,1
jv,si,1
ne,arz,1
yi,ur,1
pa,af,1
si,ar,1
pl,ne,1
zu,te,1
de,mai,1
tr,pa,1
bn,lo,1
gu,af,1
ha,mai,1
am,ur,1
bs,te,1
ar,awa,1
ur,en-simple,1
hi,az,1
ur,uk,1
nl,bn,1
ta,sa,1
bcl,hi,1
bn,bbc,1
ee,bn,1
gu,jv,1
bpy,war,1
ur,fr,1
ne,fr,1
as,awa,1
az,gu,1
en-simple,hi,1
ku,ur,1
sd,io,1
si,new,1
pi,mai,1
ml,be,1
gu,or,1
ur,he,1
hi,da,1
sv,hi,1
ks,pnb,1
rw,hi,1
sd,pnb,1
th,pi,1
si,ta,1
bn,ceb,1
ml,en-simple,1
el,bn,1
it,sd,1
mr,ne,1
hi,dz,1
ne,lo,1
as,gom,1
ta,ca,1
tcy,sa,1
sd,ta,1
pl,sa,1
mai,anp,1
ts,hi,1
gom,hi,1
ml,fa,1
he,ta,1
hi,en-simple,1
ckb,ta,1
fr,as,1
fr,gom,1
tr,kn,1
ps,or,1
bh,es,1
gl,hi,1
it,mr,1
bn,en-simple,1
af,hi,1
et,ur,1
ur,lg,1
ca,pa,1
hi,fi,1
ro,te,1
kn,ml,1
as,si,1
ta,fa,1
azb,ur,1
or,mr,1
eo,sa,1
simple,as,1
mai,gu,1
bh,ko,1
bn,et,1
ha,bh,1
ur,my,1
ne,ur,1
vi,ks,1
as,ur,1
sa,new,1
en-simple,tcy,1
fr,kn,1
eo,sd,1
mai,ks,1
ps,si,1
es,mni,1
mk,new,1
mni,gl,1
anp,mr,1
ca,as,1
hi,he,1
hi,su,1
ro,ur,1
ru,si,1
ban,hi,1
de,gu,1
mai,new,1
de,pa,1
ace,bn,1
pt,gu,1
haw,pa,1
sr,bn,1
he,mni,1
ur,az,1
ur,ro,1
jv,ks,1
fa,mni,1
sv,ta,1
ko,anp,1
fr,bh,1
war,ml,1
hy,si,1
sh,bn,1
bn,am,1
dty,gu,1
bn,hif,1
hi,tw,1
vi,ne,1
ckb,gom,1
sw,te,1
hu,ks,1
awa,sa,1
si,af,1
bg,sd,1
bn,ary,1
bn,ks,1
sl,ml,1
ha,kn,1
af,si,1
ur,de,1
fa,ne,1
uz,hi,1
ta,or,1
az,mr,1
