domain,month,desktop,mobile_web,mobile_app,total
si.wiktionary.org,2024-10,62489,75693,,138182
si.wiktionary.org,2024-11,47700,40550,,88250
si.wiktionary.org,2024-12,122653,75541,,198194
si.wiktionary.org,2025-01,99002,45505,,144507
si.wiktionary.org,2025-02,94781,49351,,144132
si.wiktionary.org,2025-03,80226,50282,,130508
si.wiktionary.org,2025-04,25242,22436,,47678
si.wiktionary.org,2025-05,69378,30398,,99776
si.wiktionary.org,2025-06,112915,51850,,164765
si.wiktionary.org,2025-07,335930,124734,,460664
si.wiktionary.org,2025-08,74005,83757,,157762
si.wiktionary.org,2025-09,246632,81409,,328041
si.wiktionary.org,2025-10,206435,164748,,371183
si.wiktionary.org,2025-11,60350,29276,,89626
si.wiktionary.org,2025-12,198942,10276,,209218
si.wiktionary.org,2026-01,70208,5760,,75968
si.wiktionary.org,2026-02,56535,13412,,69947
si.wiktionary.org,2026-03,89364,25872,,115236
si.wiktionary.org,2026-04,175795,10869,,186664
si.wiktionary.org,2026-05,284950,5209,,290159
si.wiktionary.org,2026-06,161233,18024,,179257
si.wiktionary.org,2026-07,126847,23112,,149959
si.wikibooks.org,2015-07,12396,2014,,14410
si.wikibooks.org,2015-08,17050,2990,,20040
si.wikibooks.org,2015-09,14939,2748,,17687
si.wikibooks.org,2015-10,15215,3114,,18329
si.wikibooks.org,2015-11,11378,2615,,13993
si.wikibooks.org,2015-12,11489,2853,,14342
si.wikibooks.org,2016-01,13553,3948,,17501
si.wikibooks.org,2016-02,15355,4137,,19492
si.wikibooks.org,2016-03,10956,4030,,14986
si.wikibooks.org,2016-04,39692,12623,,52315
si.wikibooks.org,2016-05,31089,7038,,38127
si.wikibooks.org,2016-06,85612,5042,,90654
si.wikibooks.org,2016-07,10645,5057,,15702
si.wikibooks.org,2016-08,15382,5485,,20867
si.wikibooks.org,2016-09,12144,7110,,19254
si.wikibooks.org,2016-10,14915,7506,,22421
si.wikibooks.org,2016-11,9652,6421,,16073
si.wikibooks.org,2016-12,11598,6812,,18410
si.wikibooks.org,2017-01,12404,9411,,21815
si.wikibooks.org,2017-02,13178,9976,,23154
si.wikibooks.org,2017-03,15997,11486,,27483
si.wikibooks.org,2017-04,10047,8399,,18446
si.wikibooks.org,2017-05,11218,10275,,21493
si.wikibooks.org,2017-06,12586,13155,,25741
si.wikibooks.org,2017-07,12099,12695,8,24802
si.wikibooks.org,2017-08,15693,15491,2,31186
si.wikibooks.org,2017-09,13452,17673,2,31127
si.wikibooks.org,2017-10,11520,17171,14,28705
si.wikibooks.org,2017-11,12668,16140,4,28812
si.wikibooks.org,2017-12,11108,13767,1,24876
si.wikibooks.org,2018-01,12547,21392,,33939
si.wikibooks.org,2018-02,12444,17589,,30033
si.wikibooks.org,2018-03,13962,18390,,32352
si.wikibooks.org,2018-04,9418,12804,,22222
si.wikibooks.org,2018-05,13359,19851,2,33212
si.wikibooks.org,2018-06,12444,21520,,33964
si.wikibooks.org,2018-07,14278,20958,,35236
si.wikibooks.org,2018-08,13944,18542,,32486
si.wikibooks.org,2018-09,13656,20739,,34395
si.wikibooks.org,2018-10,14732,21704,,36436
si.wikibooks.org,2018-11,14144,20004,,34148
si.wikibooks.org,2018-12,12114,19214,,31328
si.wikibooks.org,2019-01,19698,24562,,44260
si.wikibooks.org,2019-02,16983,22534,1,39518
si.wikibooks.org,2019-03,20075,25662,,45737
si.wikibooks.org,2019-04,21079,14535,,35614
si.wikibooks.org,2019-05,20854,17318,,38172
si.wikibooks.org,2019-06,16327,21547,,37874
si.wikibooks.org,2019-07,47268,27432,,74700
si.wikibooks.org,2019-08,33772,20861,,54633
si.wikibooks.org,2019-09,18533,22364,,40897
si.wikibooks.org,2019-10,22079,26124,,48203
si.wikibooks.org,2019-11,12148,21190,,33338
si.wikibooks.org,2019-12,10023,21478,,31501
si.wikibooks.org,2020-01,10751,32520,,43271
si.wikibooks.org,2020-02,11462,36194,,47656
si.wikibooks.org,2020-03,13269,25462,,38731
si.wikibooks.org,2020-04,14901,36485,,51386
si.wikibooks.org,2020-05,15884,40003,15,55902
si.wikibooks.org,2020-06,10101,28290,13,38404
si.wikibooks.org,2020-07,14794,29058,,43852
si.wikibooks.org,2020-08,31758,38234,,69992
si.wikibooks.org,2020-09,42781,43830,,86611
si.wikibooks.org,2020-10,31741,30240,,61981
si.wikibooks.org,2020-11,12563,36427,,48990
si.wikibooks.org,2020-12,12801,36544,,49345
si.wikibooks.org,2021-01,17705,41415,,59120
si.wikibooks.org,2021-02,18886,41222,,60108
si.wikibooks.org,2021-03,17625,36002,,53627
si.wikibooks.org,2021-04,22607,22766,,45373
si.wikibooks.org,2021-05,13024,26861,,39885
si.wikibooks.org,2021-06,17343,33753,,51096
si.wikibooks.org,2021-07,20244,44116,,64360
si.wikibooks.org,2021-08,26350,43926,,70276
si.wikibooks.org,2021-09,14399,40555,,54954
si.wikibooks.org,2021-10,15244,36820,,52064
si.wikibooks.org,2021-11,10767,34978,,45745
si.wikibooks.org,2021-12,9799,32348,,42147
si.wikibooks.org,2022-01,10422,33643,,44065
si.wikibooks.org,2022-02,20415,27725,,48140
si.wikibooks.org,2022-03,41219,26392,,67611
si.wikibooks.org,2022-04,12686,19661,,32347
si.wikibooks.org,2022-05,14139,30423,,44562
si.wikibooks.org,2022-06,12639,28381,,41020
si.wikibooks.org,2022-07,13041,28140,,41181
si.wikibooks.org,2022-08,17617,38905,,56522
si.wikibooks.org,2022-09,11897,32974,,44871
si.wikibooks.org,2022-10,17810,37723,,55533
si.wikibooks.org,2022-11,15292,36584,,51876
si.wikibooks.org,2022-12,18997,31453,,50450
si.wikibooks.org,2023-01,12714,28333,,41047
si.wikibooks.org,2023-02,13350,30174,,43524
si.wikibooks.org,2023-03,17881,34426,,52307
si.wikibooks.org,2023-04,12547,24582,,37129
si.wikibooks.org,2023-05,19537,35277,,54814
si.wikibooks.org,2023-06,19127,37264,,56391
si.wikibooks.org,2023-07,16400,32084,,48484
si.wikibooks.org,2023-08,20664,29935,,50599
si.wikibooks.org,2023-09,16784,26032,,42816
si.wikibooks.org,2023-10,13801,25590,,39391
si.wikibooks.org,2023-11,10516,23022,,33538
si.wikibooks.org,2023-12,31503,21022,,52525
si.wikibooks.org,2024-01,16328,19006,,35334
si.wikibooks.org,2024-02,20456,20248,,40704
si.wikibooks.org,2024-03,16671,26442,,43113
si.wikibooks.org,2024-04,17036,23778,,40814
si.wikibooks.org,2024-05,18351,23784,,42135
si.wikibooks.org,2024-06,30328,43879,,74207
si.wikibooks.org,2024-07,14559,37164,,51723
si.wikibooks.org,2024-08,40847,41589,,82436
si.wikibooks.org,2024-09,35930,49370,,85300
si.wikibooks.org,2024-10,27218,55405,,82623
si.wikibooks.org,2024-11,25359,30169,,55528
si.wikibooks.org,2024-12,52527,24600,,77127
si.wikibooks.org,2025-01,29739,23503,,53242
si.wikibooks.org,2025-02,54947,44787,,99734
si.wikibooks.org,2025-03,47533,36363,,83896
si.wikibooks.org,2025-04,29745,24973,,54718
si.wikibooks.org,2025-05,47729,65158,,112887
si.wikibooks.org,2025-06,23793,84210,,108003
si.wikibooks.org,2025-07,36342,29321,,65663
si.wikibooks.org,2025-08,73715,76454,,150169
si.wikibooks.org,2025-09,86927,79296,,166223
si.wikibooks.org,2025-10,103105,69022,,172127
si.wikibooks.org,2025-11,66382,23884,,90266
si.wikibooks.org,2025-12,34759,13790,,48549
si.wikibooks.org,2026-01,160780,26895,,187675
si.wikibooks.org,2026-02,162346,14361,,176707
si.wikibooks.org,2026-03,273564,18481,,292045
si.wikibooks.org,2026-04,289074,13853,,302927
si.wikibooks.org,2026-05,1600456,19351,,1619807
si.wikibooks.org,2026-06,565753,36394,,602147
si.wikibooks.org,2026-07,439214,35403,,474617
ta.wikipedia.org,2015-07,2207355,1109881,68273,3385509
ta.wikipedia.org,2015-08,2188251,1171382,73793,3433426
ta.wikipedia.org,2015-09,2014042,1100389,74668,3189099
ta.wikipedia.org,2015-10,2537877,1347635,80320,3965832
ta.wikipedia.org,2015-11,1867831,1186613,80862,3135306
ta.wikipedia.org,2015-12,1718813,1220349,78618,3017780
ta.wikipedia.org,2016-01,2065904,1437224,77117,3580245
ta.wikipedia.org,2016-02,1788266,1354212,66076,3208554
ta.wikipedia.org,2016-03,1670579,1314999,64833,3050411
ta.wikipedia.org,2016-04,1569161,1223416,46472,2839049
ta.wikipedia.org,2016-05,1589343,1300623,58794,2948760
ta.wikipedia.org,2016-06,1795214,1466743,68825,3330782
ta.wikipedia.org,2016-07,1862975,1758867,68587,3690429
ta.wikipedia.org,2016-08,2158666,1893670,74374,4126710
ta.wikipedia.org,2016-09,1786771,1731082,66772,3584625
ta.wikipedia.org,2016-10,2379085,2078580,66437,4524102
